Author,Index,Title,Status,Class,SubType,Operator,DeltaType,ConditionDescription,IndexFor,ValueFor,Daily,REPUTATION,LOYALTY,Introduction text,Resolution text,Requirements,Objectives,Rewards,Tags,Lethe Notes,Mina Rep
"Lethe Asphodel, Nedu",42,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest for 2 Hours at Lab Entrance,6,7200,No,,,,,,,,,,
"Lethe Asphodel, Nedu",42,,Ingame,Reward,ITEM,,,5x Maple-Flavor Ghost Gum,11301,5,No,,,,,,,,,,
"Lethe Asphodel, Nedu",43,Points of Importance,Ingame,Quest,,,,Harvest for 5 hours at Scrap Confluence,,,No,5,,"Interesting. The office is still sealed for now.... but I have a sense that it'll be possible to enter later on.

Next up, I need you to search the core of the scrapyard to the west. Maybe you'll find a screwdriver.…",,"Have completed ""Scouting Out” (42)",Harvest for 5 hours at Scrap Confluence,3x Cheeseburger,,,
"Lethe Asphodel, Nedu",43,,Ingame,Requirement,QUEST,COMPLETE,,"Have completed ""Scouting Out” (42)",42,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",43,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest for 5 Hours at Scrap Confluence,12,18000,No,,,,,,,,,,
"Lethe Asphodel, Nedu",43,,Ingame,Reward,ITEM,,,3x Cheeseburger,11302,3,No,,,,,,,,,,
"Lethe Asphodel, Nedu",44,A Moment of Peace.…,Ingame,Quest,,,,Harvest for 10 hours at Clearing,,,No,5,,"Very interesting. In order to calibrate my readings, I need a neutral control for contrast..... can you have your Kamigotchi harvest in the Clearing for a while? I'm sure there's nothing special there…",,"Have completed ""Points of Importance” (43)",Harvest for 10 hours at Clearing,1x Mint,,,
"Lethe Asphodel, Nedu",44,,Ingame,Requirement,QUEST,COMPLETE,,"Have completed ""Points of Importance” (43)",43,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",44,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest for 10 Hours at Clearing,49,36000,No,,,,,,,,,,
"Lethe Asphodel, Nedu",44,,Ingame,Reward,ITEM,,,1x Mint,111,1,No,,,,,,,,,,
"Lethe Asphodel, Nedu",45,An Even Rarer Flower,Ingame,Quest,,,,Give 1 Black Poppy,36,,No,10,,"I'm amazed to see you found me that mint. Very few of the other pioneers have made it this far...... 

There's one other rare flower I need. It can be found around the centre of the forest.... but I regret to inform you that it's even rarer than mint. Best of luck!",,"Have completed ""Elusive Herbs"" (36)",Give 1 Black Poppy,15 REPUTATION,,,
"Lethe Asphodel, Nedu",45,,Ingame,Requirement,QUEST,COMPLETE,,"Have completed ""Elusive Herbs"" (36)",36,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",45,,Ingame,Objective,ITEM_BURN,MIN,INC,Give 1 Black Poppy,109,1,No,,,,,,,,,,
"Lethe Asphodel, Nedu",46,Alongside the stream...,Ingame,Quest,,,,Give 3 Daffodils,,,No,5,,"It looks like filling the Torii Gate with MUSU has opened up a new area by the riverside. I think you should be able to find Daffodils there. Do you mind wandering down to take a look? Yes, I know, even more flowers..... I'm starting a collection.",,Holy Gate Collab Quest Completed // Complete Got MUSU? (15),Give 3 Daffodils,2 XP Candy (Large),,,
"Lethe Asphodel, Nedu",46,,Ingame,Requirement,GOAL,COMPLETE,,Holy Gate Collab Quest Completed,6,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",46,,Ingame,Requirement,QUEST,COMPLETE,,Complete Got MUSU? (15),15,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",46,,Ingame,Objective,ITEM_BURN,MIN,INC,Give 3 Daffodils,110,3,No,,,,,,,,,,
"Lethe Asphodel, Nedu",46,,Ingame,Reward,ITEM,,,2 XP Candy (Large),11203,2,No,,,,,,,,,,
"Lethe Asphodel, Nedu",47,Defiance of Common Sense,Ingame,Quest,,,,Give 15 Scrolls of Shop Teleportation,,,No,5,,"It seems that Mina has now started selling some sort of teleportation device. That shouldn't be possible at all. I'm going to need a whole bunch of these to reverse engineer whatever she's up to..... Can you go and grab me 15, please?",,Expanding Inventory Collab Quest Completed // Complete Got MUSU? (15),Give 15 Scrolls of Shop Teleportation,1 XP Candy (Huge),,,
"Lethe Asphodel, Nedu",47,,Ingame,Requirement,GOAL,COMPLETE,,Expanding Inventory Collab Quest Completed,5,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",47,,Ingame,Requirement,QUEST,COMPLETE,,Complete Got MUSU? (15),15,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",47,,Ingame,Objective,ITEM_BURN,MIN,INC,"Give 15 Scrolls of Shop Teleportation ",21100,15,No,,,,,,,,,,
"Lethe Asphodel, Nedu",47,,Ingame,Reward,ITEM,,,1 XP Candy (Huge),11204,1,No,,,,,,,,,,
"Lethe Asphodel, Nedu",48,A whole team...,Ingame,Quest,,,,"Have 3 Level 5 Kamigotchi ",,,No,5,,"Raising one Kamigotchi is great, but frankly, you're going to need a squad to survive out here. 

You can get more Kamigotchi by increasing your REPUTATION and claiming Gacha tickets. Come back when you have a team of 3. I'll have even more REPUTATION for you!",,"Completed ""There are more Levels to This"" (6)","Have 3 Level 5 Kamigotchi ",3x XP Candy (Medium),,,
"Lethe Asphodel, Nedu",48,,Ingame,Requirement,QUEST,COMPLETE,,"Completed ""There are more Levels to This"" (6)",6,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",48,,Ingame,Objective,KAMI_LEVEL_QUANTITY,MIN,CURR,"Have 3 Level 5 Kamigotchi ",5,3,No,,,,,,,,,,
"Lethe Asphodel, Nedu",48,,Ingame,Reward,ITEM,,,3x XP Candy (Medium),11202,3,No,,,,,,,,,,
"Lethe Asphodel, Nedu",49,Gang Gang,Ingame,Quest,KAMI_LEVEL_QUANTITY,,,Have 4 Level 10 Kamigotchi,,,No,5,,"I see you're still growing your squad. Well, I want to see 4 Level 10 Kami, now. 4 is my favourite number, you know. It's a very important number down here. ",,Completed “A whole team…” (48),Have 4 Level 10 Kamigotchi,3x XP Candy (Large),,,
"Lethe Asphodel, Nedu",49,,Ingame,Requirement,QUEST,COMPLETE,,Completed “A whole team…” (48),48,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",49,,Ingame,Objective,KAMI_LEVEL_QUANTITY,MIN,CURR,Have 4 Level 10 Kamigotchi,10,4,No,,,,,,,,,,
"Lethe Asphodel, Nedu",49,,Ingame,Reward,ITEM,,,3x Large XP Candy,11203,3,No,,,,,,,,,,
"Lethe Asphodel, Nedu",50,A Squad of Elites,Ingame,Quest,,,,"Have 5 Level 15 Kamigotchi ",,,No,10,,"You're becoming a veritable Kamigotchi powerhouse, now. Well, I'll ask for one final show of strength from your team.... you guessed it, 5 Kamigotchi at Level 15. Get to it.",,"Completed ""Gang Gang” (49)",Have 5 Level 15 Kamigotchi,3x XP Candy (Huge),,,
"Lethe Asphodel, Nedu",50,,Ingame,Requirement,QUEST,COMPLETE,,"Completed ""Gang Gang” (49)",49,,No,,,,,,,,,,
"Lethe Asphodel, Nedu",50,,Ingame,Objective,KAMI_LEVEL_QUANTITY,MIN,CURR,Have 5 Level 15 Kamigotchi,15,5,No,,,,,,,,,,
"Lethe Asphodel, Nedu",50,,Ingame,Reward,ITEM,,,3x XP Candy (Huge),11204,3,No,,,,,,,,,,
Nedu,51,Endurance Runner,Ingame,Quest,,,,Move 200 times,,,No,5,,"Now that you've become accustomed to exploring, I need your help to map out the finer details hidden in this world. Move 200 times and I'll reward you handsomely.",,Completed A Serious Hiker (25),Move 200 times,3x Better Ice Cream (108),,,
Nedu,51,,Ingame,Requirement,QUEST,COMPLETE,,Completed A Serious Hiker (25),25,,No,,,,,,,,,,
Nedu,51,,Ingame,Objective,MOVE,MIN,INC,Move 200 times,,200,No,,,,,,,,,,
Nedu,51,,Ingame,Reward,ITEM,,,3x Better Ice Cream,21202,3,No,,,,,,,,,,
Nedu,52,Nomadic Explorer,Ingame,Quest,,,,Move 500 times,,,No,5,,"You and your team have proven their endurance, but I'm afraid it's not enough. This world is big, and easy to get lost in. Move 500 times to prove to me you have acquired enough wisdom to find your way around. ",,Completed Endurance Runner (51),Move 500 times,3x Best Ice Cream (107),,,
Nedu,52,,Ingame,Requirement,QUEST,COMPLETE,,Completed Endurance Runner (51),51,,No,,,,,,,,,,
Nedu,52,,Ingame,Objective,MOVE,MIN,INC,Move 500 times,,500,No,,,,,,,,,,
Nedu,52,,Ingame,Reward,ITEM,,,3x Best Ice Cream,21203,3,No,,,,,,,,,,
Nedu,53,Globetrotter,Ingame,Quest,,,,Move 1000 times,,,No,10,,"You’ve done well so far, but the journey is far from over. I need you to make one last push... in the name of science, of course. Move 1,000 times and show me that you are a master of this world. You will be rewarded appropriately.",,Completed Nomadic Explorer (52),Move 1000 times,"3x Best Ice Cream (107), 1x XP Candy (Large) (104)",,,
Nedu,53,,Ingame,Requirement,QUEST,COMPLETE,,Completed Nomadic Explorer (52),52,,No,,,,,,,,,,
Nedu,53,,Ingame,Objective,MOVE,MIN,INC,Move 1000 times,,1000,No,,,,,,,,,,
Nedu,53,,Ingame,Reward,ITEM,,,5x Best Ice Cream,21203,5,No,,,,,,,,,,
Nedu,53,,Ingame,Reward,ITEM,,,1x XP Candy (Large),11203,1,No,,,,,,,,,,
Nedu,54,A Terrible Tragedy,Ingame,Quest,,,,Harvest 10 hours at Airplane Crash,,,No,5,,"Hmm, this is unexpected.... There seems to be an anomaly in the readings from the crash site. I need you to investigate further. Have your Kamigotchi harvest at the Airplane Crash site. Be careful, though.... The energy there feels... heavy.",,Have completed Insect Node Coop & Scouting Out (42),Harvest 10 hours at Airplane Crash,"1x Daffodil, 1 XP Candy (Medium)",,,
Nedu,54,,Ingame,Requirement,QUEST,COMPLETE,,Have completed Scouting Out (42),42,,No,,,,,,,,,,
Nedu,54,,Ingame,Requirement,GOAL,COMPLETE,,Have completed Insect Node Coop,3,,No,,,,,,,,,,
Nedu,54,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest 10 hours at Airplane Crash,52,36000,No,,,,,,,,,,
Nedu,54,,Ingame,Reward,ITEM,,,1x Daffodil,110,1,No,,,,,,,,,,
Nedu,54,,Ingame,Reward,ITEM,,,1x XP Candy (Medium),11202,1,No,,,,,,,,,,
Nedu,55,Keeping Them Company,Ingame,Quest,,,,Harvest 12 hours at Lost Skeleton,,,No,5,,"The data from the crash site was... unsettling. But there's more. I'm picking up a strange signal from what appears to be someone, as if it's calling out... Have your Kamigotchi harvest near the Lost Skeleton and report back.",,"Have completed ""A terrible tragedy"" (54)",Harvest 12 hours at Lost Skeleton,"3x Red Gakki Ribbon, 1x XP Candy (Medium)",,,
Nedu,55,,Ingame,Requirement,QUEST,COMPLETE,,"Have completed ""A terrible tragedy"" (54)",54,,No,,,,,,,,,,
Nedu,55,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest 12 hours at Lost Skeleton,25,43200,No,,,,,,,,,,
Nedu,55,,Ingame,Reward,ITEM,,,3x Red Gakki Ribbon,11001,3,No,,,,,,,,,,
Nedu,55,,Ingame,Reward,ITEM,,,1x XP Candy (Medium),11202,1,No,,,,,,,,,,
Nedu,56,Paying Your Respects,Ingame,Quest,,,,Harvest 15 hours at Trash Strewn Graves,,,No,10,,"The final location I need you to investigate is not pleasant. An area with what seem to be makeshift graves. Have your Kamigotchi harvest there, but... be respectful. Sometimes, the departed still linger....",,"Have completed ""Keeping them company” (55)",Harvest 15 hours at Trash Strewn Graves,"1x Mint, 1x XP Candy (Huge)",,,
Nedu,56,,Ingame,Requirement,QUEST,COMPLETE,,"Have completed ""Keeping them company” (55)",55,,No,,,,,,,,,,
Nedu,56,,Ingame,Objective,HARVEST_TIME,MIN,INC,Harvest 15 hours at Trash Strewn Graves,26,54000,No,,,,,,,,,,
Nedu,56,,Ingame,Reward,ITEM,,,1x Mint,111,1,No,,,,,,,,,,
Nedu,56,,Ingame,Reward,ITEM,,,1x XP Candy (Huge),11204,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",57,Welcome Back,For Implementation,Quest,,,,Move once,,,No,5,,"Congratulations. It seems you've successfully saved one of your Kamigotchi from the previous incarnation of this world. 

Well, it's nice to see you back. This time round, a few of the rewards have been adjusted.... it'll be a little bit more work to earn that Passport, now. Good luck. ",,Used T1 Pomegranate,Move once,1x Red Gakki Ribbon,,,
"Nedu, Lethe Asphodel",57,,For Implementation,Requirement,COMPLETE_COMP,COMPLETE,,Used T1 Pomegranate (deployer assigned; always returns false),,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",57,,For Implementation,Objective,MOVE,MIN,INC,Move once,,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",57,,For Implementation,Reward,ITEM,,,1x Red Gakki Ribbon,11001,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",58,Resource Processing,For Implementation,Quest,,,,Have 1 Spice Grinder (not give),,,No,5,,"Mina's begun selling items that can be used for Crafting..... With these, you'll be able to turn some of the things your Kamigotchi find when Scavenging into other items.

If you want to break down herbs and use them to make potions, you'll need a Spice Grinder. Go and buy one... it's pricy, but it'll be worth it.",,"Completed ""Even More Musu"" (40)",Have 1 Spice Grinder (not give),1 Plastic Bottle,,,
,58,,For Implementation,Requirement,QUEST,COMPLETE,,"Completed ""Even More Musu"" (40)",40,,No,,,,,,,,,,
,58,,For Implementation,Objective,ITEM_BUY_TOTAL,MIN,INC,Buy a Spice Grinder from Mina’s Store,23100,1,No,,,,,,,,,,
,58,,For Implementation,Reward,ITEM,,,1x Plastic Bottle,103,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",59,Supplementing your Health,For Implementation,Quest,,,,Give 1000 Pine Pollen,,,No,5,,"I'm sure by now you've noticed that herbs and flowers can be found in many areas of this world. Some of these can be broken down, and the raw material used to make potions or other items.

Pine Pollen is very important - when extracted from Pinecones, it can be used to make potions that give Kamigotchi raw XP. I need some for my own health, so break down a few Pinecones and bring some to me. I'm sure these XP Candy will make up for your loss.…",,"Completed ""Resource Processing"" (58)","Give 1000 Pine Pollen ",3 Huge XP Candy,,,
"Nedu, Lethe Asphodel",59,,For Implementation,Requirement,QUEST,COMPLETE,,"Completed ""Resource Processing"" (58)",58,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",59,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 1000 Pine Pollen,107,1000,No,,,,,,,,,,
"Nedu, Lethe Asphodel",59,,For Implementation,Reward,ITEM,,,3x Huge XP Candy,11204,3,No,,,,,,,,,,
"Nedu, Lethe Asphodel",60,Industrial XP,For Implementation,Quest,,,,Give 5 XP Potions,,,No,5,,"Raw Pine Pollen can be processed into potions at a riverside, if you have a Portable Burner... which you'll also need to buy from Mina. This is how all potions are made.

I want samples of these potions. Bring me 5, and I'll give you something very special... a Mana Mochi.",,"Completed ""Supplementing Your Health"" (59)",Give 5 XP Potions,1 Mana Mochi,,,
"Nedu, Lethe Asphodel",60,,For Implementation,Requirement,QUEST,COMPLETE,,"Completed ""Supplementing Your Health"" (59)",59,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",60,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 5 XP Potions,11401,5,No,,,,,,,,,,
"Nedu, Lethe Asphodel",60,,For Implementation,Reward,ITEM,,,1x Mana Mochi,11140,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",61,They're Inside You,For Implementation,Quest,,,,Give 1500 Microplastics,,,No,5,,"If you have spare Plastic Bottles, you can also use the grinder to break them down into precious Microplastics. These don't have any direct uses just yet, but I find them beautiful.... Please, bring some to me. I have a little Reputation left to spare.",,Completed “Industrial XP” (60),Give 1500 Microplastics,,,,
"Nedu, Lethe Asphodel",61,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Industrial XP” (60),60,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",61,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 1500 Microplastics,112,1500,No,,,,,,,,,,
"Nedu, Lethe Asphodel",62,Even More Experience,For Implementation,Quest,,,,Give 1 Greater XP Potion,,,No,10,,"Although XP Potions are very effective, they're strictly less efficient than the more powerful Greater XP Potions. Greater potions require far more Pine Pollen, however..... as well as Glass Jars. You can find them over by the plane crash...
If you need Reputation, I can award you 10 in exchange for one of those Greater XP Potions.",,Completed “They’re Inside You” (61),Give 1 Greater XP Potion,,,,
"Nedu, Lethe Asphodel",62,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “They’re Inside You” (61),61,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",62,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 1 Greater XP Potion,11402,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",63,Mapping Error,For Implementation,Quest,,,,Go back to Misty Riverside (1),,,No,1,,"I'm experiencing some errors with my mapping software. Some of the areas of this world have been altered. A cluster of rooms is dark no matter what time the clock shows, frozen in time like a little snowglobe. Please travel back to the Misty Riverside at the edge of the Kamigotchi World. Tell me what changed, then I can run an update.",,Log in during xmas event,Go back to Misty Riverside (1),,,,
"Nedu, Lethe Asphodel",63,,For Implementation,Objective,ROOM,IS,BOOL,Go back to Misty Riverside (1),1,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",64,Database Error,For Implementation,Quest,,,,"Scavenge one of each of the new items: Candle (116), Gingerbread Cookie (11305), Mistletoe (11406)",,,No,2,,"I'm also experiencing some errors with my object database. It looks like we’re doing a seasonal event! Merry Christmas! There are new items, too. Please harvest in the event area for MUSU and scavenge one of each of the new items so I can run an update. There are lit candles and mistletoe everywhere, they shouldn't be too hard to find. And it smells like someone's baking cookies!",,Completed “Mapping Error” (63),"Scavenge one of each of the new items: Candle (116), Gingerbread Cookie (11305), Mistletoe (11406)",,,,
,64,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Mapping Error” (63),63,,No,,,,,,,,,,
,64,,For Implementation,Objective,ITEM,MIN,CURR,Have 1 Candle in your inventory,116,,No,,,,,,,,,,
,64,,For Implementation,Objective,ITEM,MIN,CURR,Have 1 Gingerbread Cookie in your inventory,11305,,No,,,,,,,,,,
,64,,For Implementation,Objective,ITEM,MIN,CURR,Have 1 Mistletoe in your inventory,11406,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",65,The Spirit of Giving,For Implementation,Quest,,,,Give 8 Gingerbread Cookies. (Leave out cookies for spirits),,,No,2,,"This isn't a logical request, but it feels right for the season. Think about it, okay? You could hoard all those cookies for yourself, but it's the season of giving! Think of those less fortunate and kick them a little something. I can't think of anyone less fortunate than the dead. Leave some cookies out for them tonight, it would warm my heart if I had one.",,Completed “Database Error” (64),Give 8 Gingerbread Cookies. (Leave out cookies for spirits),1x XP Potion (11401),,,
,65,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Database Error” (64),64,,No,,,,,,,,,,
,65,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 8 Gingerbread Cookies,11305,8,No,,,,,,,,,,
,65,,For Implementation,Reward,ITEM,,,1x XP Potion,11401,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",66,Decking the Halls,For Implementation,Quest,,,,Give 3 Mistletoe (Hang the mistletoe on something),,,No,3,,"Thank you for completing my quests, Operator. I'll run a self-diagnostic right after this, but while I'm in the Christmas spirit, I want you to do a little decorating for me. Just hang those mistletoe branches around the Kamigotchi World wherever you like. Maybe you'll get a kiss!",,Completed “The Spirit of Giving” (65),Give 3 Mistletoe (Hang the mistletoe on something),,,,
,66,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “The Spirit of Giving” (65),65,,No,,,,,,,,,,
,66,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 3 Mistletoe,11406,3,No,,,,,,,,,,
"Nedu, Lethe Asphodel",67,Stop Having Fun!,For Implementation,Quest,,,,Give 3 Mistletoe (Burn the mistletoe and wave the smoke around),,,No,2,,"I don't like this new domain invading the boundaries of this world. What is it, anyway? Some icy avatar of death and entropy? One of those harvest cults? Nothing respectable, that's for certain. A bunch of humbug! 

It’s best to smoke evil spirits out like the vermin they are. Burn that mistletoe wherever you deem it necessary. This is bound to get the sun shining again.",,Completed “Mapping Error” (63),Give 3 Mistletoe (Burn the mistletoe and wave the smoke around),1x XP Potion (11401),,,
,67,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Mapping Error” (63),63,,No,,,,,,,,,,
,67,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 3 Mistletoe,11406,3,No,,,,,,,,,,
,67,,For Implementation,Reward,ITEM,,,1x XP Potion,11401,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",68,Sending a Signal,For Implementation,Quest,,,,Give 13 Candles,,,No,2,,"Still dark? What a bothersome power. Get a bunch of those candles. Someone's been lighting and placing them all around the forest. Get me thirteen of them. I'll put a hex on the candles to let me see through the flame, then send them down that misty river nearby. We'll find out together whose frosty domain creeps over the boundary of the Kamigotchi World.",,Completed “Stop Having Fun!” (67),Give 13 Candles (to draw candles away from the Co-Op quest),1x XP Potion (11401),,,
,68,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Stop Having Fun!” (67),67,,No,,,,,,,,,,
,68,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 13 Candles,116,13,No,,,,,,,,,,
,68,,For Implementation,Reward,ITEM,,,1x XP Potion,11401,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",69,Mistletoe for Mina’s Shop,For Implementation,Quest,,,,Give 5 Mistletoe (Make Mina a wreath),,,No,3,,"If I have to live with this frivolity for the next several days, you might as well make me something I can use to make my shop feel more comfortable. Go collect a bunch of mistletoe and I'll show you how to tie it together to make a wreath. If it burns evenly, I'll give you something special. ",,Completed “Sending a Signal” (68),Give 5 Mistletoe (Make Mina a wreath),1x Gaokerena Mochi (11110),,,
,69,,For Implementation,Requirement,QUEST,COMPLETE,,Completed “Sending a Signal” (68),67,,No,,,,,,,,,,
,69,,For Implementation,Objective,ITEM_BURN,MIN,INC,Give 5 Mistletoe,11406,5,No,,,,,,,,,,
,69,,For Implementation,Reward,ITEM,,,1x Gaokerena Mochi,11110,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",10001,,Shelved,Requirement,QUEST,COMPLETE,,Have completed An Unforgiving World (10),10,,No,,,,,,,,,,
"Nedu, Lethe Asphodel",10001,,Shelved,Objective,LIQ_TARGET_ACC,MIN,INC,Liquidate one of Plotchy's Kamigotchi,101,1,No,,,,,,,,,,
"Nedu, Lethe Asphodel",10001,,Shelved,Reward,ITEM,,,5x Giftbox,21001,5,No,,,,,,,,,,
"Nedu, Lethe Asphodel",10001,,Shelved,Reward,ITEM,,,1x Large XP Candy,11203,1,No,,,,,,,,,,
,10002,Fountain of Revival [Daily],Ingame,Quest,,,,,,,Yes,,,"Kamigotchi rise, fall, and rise again......

Have you found yourself without the means to carry on? Well, here's a Ribbon, just for you…",,Have completed An Unforgiving World (10),,1x Red Gakki Ribbon,,,
,10002,,Ingame,Requirement,ROOM,IS,,At room 11,11,,No,,,,,,,,,,
,10002,,Ingame,Reward,ITEM,,,1 Revive,11001,1,No,,,,,,,,,,
,10003,"An apology... ",For Implementation,Quest,,,,,,,No,5,,The whole world stopped for a little while earlier today.... and some of you may have been liquidated unfairly as a result. Here's a little bit of XP and reputation to help with the lost time. Sorry!,,,,,,,
,10003,,For Implementation,Requirement,BLOCKTIME,MAX,,Before 12/9/24 8pm GMT,,1733774400,No,,,,,,,,,,
,10003,,For Implementation,Reward,ITEM,,,,11001,5,No,,,,,,,,,,
,10003,,For Implementation,Reward,ITEM,,,,11204,1,No,,,,,,,,,,
,65,,Review,Requirement,QUEST,COMPLETE,,Completed “Database Error” (64),,,No,,,,,,,,,,
,65,,Review,Requirement,QUEST,COMPLETE,,Completed “Database Error” (64),,,No,,,,,,,,,,
