Key,Index,Status,Title,Daily,Introduction Dialogue,Requirements,Objectives,Rewards,Type,Giver
SQ002,3002,To Update,Health & Safety,No,"MENU: While Kami don’t see Harvesting as labor, they still get tired and lose Health. Kamigotchi hold their bodies together with spiritual energy. As they expend energy, it gets harder to maintain their form. Low Health doesn’t mean a Kami is physically hurt, but it’s still a problem you should take care of.

MENU: When your Kami gets low on Health, return to the room where you left it, then use the Harvesting Menu to pick it up. A Kami will slowly regenerate Health on its own while being held. If you can’t wait, give your Kami a snack or use a Spell Card to restore health. Kamigotchi don’t need food to live, but they can draw energy from food to bolster their spirit.

MENU: Use an item to heal a Kami and complete this quest. If you already used the Spell Card that I gave you, go buy some food or dig up a Cheeseburger. ",Complete MSQ004,Use an item to heal a Kamigotchi that has been reduced below 100% Health,"2x Agency Reputation,1x ""Neith’s River of Life"" Spell Card",SIDE,MENU
SQ003,3003,To Update,There Are Levels to This,No,"MENU: Unlike humans, Kamigotchi have the potential to grow and change by using xenoplasticity, or “XP” for short. This means that they can assimilate many different things to form a new cohesive whole.

MENU: Take a look at your roster. You can see a green progress bar with a percentage indicator beneath the portrait of each Kami. When one is ready to move to the next level, the bar will be full and read 100%. Just level up a Kami and you’ll be done. Take note of your new skill point and hold onto it for the next quest.

MENU: When you complete this, I’ll give you a small reward to help encourage the process.",Complete MSQ005,Level up a Kami,"2x Agency Reputation,1x “Cultivation I” Spell Card",SIDE,MENU
SQ004,3004,To Update,Skill Issue,No,"MENU: When you spend Skill Points to tell Kami what to focus on, you shape their personalities and temperaments. Think hard before you make a choice! You’ll only be able to respec with specific items that are difficult to acquire. This is a commitment.

MENU: Click on a Kami that leveled up and gained a skill point recently and look over the skill tree. Remember, you can’t go wrong by improving what your Kami is already good at. Take your time, but don’t forget to pick something. ",Complete SQ003,Spend a point in any Skill Tree after levelling up,2x Agency Reputation,SIDE,MENU
SQ005,3005,To Update,Spring Rites,No,"MENU: I see one of your Kami got Liquidated. That sucks! Of course, that’s just a temporary condition. Usually in this world it’s possible to return to form no matter what happens. The essence of something remains unless it’s been totally erased from existence.

MENU: Take this and use it on a Kami that has been Liquidated. Just read the incantation printed on the front, and presto! This powerful spell card brings your Kami back to action. 

MENU: It’s the only freebie I’m allowed to give you. You’ll have to work for more spell cards like this one. Certain shopkeepers might sell different kinds of revival magic, but these cards are premium SSR.",Have one of your own Kami liquidated,,"2x Agency Reputation,1x “Melkarth’s Heroic Awakening” Spell Card",SIDE,MENU
SQ006,3006,To Update,What’s In a Name?,No,"MENU: Southeast through the old forest you can find a small shrine by a mountain waterfall. That area was cultivated for spiritual power. With the rare Holy Dust item, you can perform a ritual there to grant your Kami a name.

MENU: If you don’t have Holy Dust, a small donation of $ONYX to the shrine will suffice!",Complete MSQ008,Name a Kami,2x Agency Reputation,SIDE,MENU
SQ007,3007,To Update,Land Survey,No,"MENU: Your march helped find an interesting anomaly, but I’m positive something else is hidden around here. I’ve checked and re-checked more times than you’d care to hear about. Something still doesn’t line up! It’s going to take a lot of legwork to figure this one out.

MENU: Move 500 times. I’ll be going over everything again with a fine-tooth comb. We’re bound to find something by the end.",Complete MSQ017,Move 500 times,"2x Agency Reputation,2x “Neith’s River of Life” Spell Card",SIDE,MENU
SQ008,3008,To Update,Peregrination,No,"MENU: They say measure twice, cut once, but that still means taking a risk. Best to measure a thousand times for the most accurate data. Sometimes the numbers might have changed.

MENU: Even if you’ve already found something interesting, please move 1000 times more. Cover every inch of this world. I’ll scan as you go. We need to be sure.",Complete SQ007,Move 1000 times,"4x Agency Reputation,3x “Neith’s River of Life” Spell Card",SIDE,MENU
SQ009,3009,To Update,Tips Help The Most Right Now,No,"MINA: I demand a tribute of $MUSU. You should feel privileged to be given this opportunity and expect nothing in return. Still, I’ll give you something whether you deserve it or not. No, I’ll never give a discount, but you’ll have my attention. Isn’t that even better?",Complete MIN008,Give 5000 $MUSU,6x Elders Loyalty,SIDE,MINA
SQ010,3010,To Update,Hex Education II,No,"MINA: I suppose I should persist through the boredom and finish the hexing lessons. You’re a fine student and have proved yourself loyal and reliable, so it shouldn’t take long to get this over with.

MINA: A slightly more complex recipe: The Grace Potion. It allows a Kami to harvest for longer periods of time by boosting its ability to endure the strain. The potion’s active ingredient is the exceedingly rare Black Poppy. Hidden in the undergrowth, it emerges from the shadows only when it wants to be found. A great degree of patience or luck is necessary when searching for it.

MINA: Of course, this flower is very potent. When crafting your hexes, I recommend that you use only a small amount.",Complete MIN013,Craft 1 Grace Potion,2x Elders Loyalty,SIDE,MINA
SQ011,3011,To Update,Hex Education III,No,"MINA: A simple but powerful recipe, this potion is capable of undoing the many mistakes you’ve no doubt made when raising your Kami. The key ingredient is Mint. While common elsewhere, it grows in only a few places in this world and rarely spreads.

MINA: Find one Mint and grind it up, you’ll need every single shred for one potion. It’s an elusive reagent, so be patient while you’re on the hunt. Hexers of the past would obsess over the search for rare ingredients and fall to madness for things like this. However, you’ve always seemed unusually dry, so perhaps you’ll handle the stress with ease. ",Complete SQ010,Craft 1 Respec Potion,2x Elders Loyalty,SIDE,MINA
SQ012,3012,To Update,Customer Loyalty Program II,No,"MINA: On the wall in my shop hangs a board tracking my favorite customers. That could be you one day at the top among the angels.

MINA: You won’t get better prices anywhere else, so start spending.",Complete MIN007,Spend 15000 $MUSU at Mina's Shop,6x Elders Loyalty,SIDE,MINA
SQ013,3013,To Update,Going Out For a Coffee,No,"MINA: I came across this beverage long ago when I met the peoples of Lake Shala, who offered this drink to the gods as appeasement. I was quite taken by its taste, though I can’t recall when I last had it. We don’t have access to the original ingredients here, but I believe materials are available to craft an approximation of the flavor. 

MINA: Start by crafting a proper receptacle: Chisel a chunk of Stone with a Screwdriver to make an Empty Cup. You might think it possible to drink this potion from a plastic bottle or a glass jar, but it isn’t. Only a proper stone cup will do. For the approximate materials, seek out a Sanguine Shroom for the color and body, and a Pine Cone for the dry finish and spicy floral aroma. It may sound unpleasant, but wait until it’s been brewed before you judge.",Complete SQ012,Craft 1 Hostility Potion,4x Elders Loyalty,SIDE,MINA
SQ014,3014,To Update,Teatime,No,"MINA: I just gave you a lesson to craft a useful potion with Mint, I know, but could you put that aside for a moment? With the mint on my mind, I’d like a cup of tea. 

MINA: I deserve a break after all this work, you must agree.",Complete SQ010,Give 1 Mint,6x Elders Loyalty,SIDE,MINA
SQ015,3015,To Update,The Wages of Sin,No,"MENU: I noticed some strange coins in your inventory. The design is a little like an ancient Greek obol, but there’s something off about the metal, it’s too pure for the era. And the way they catch the light and glitter despite being so dull, it’s not right. 

MENU: Give me a handful to take a closer look at. I’ll run a battery of tests. ",Own at least 1 Obol,Give 5 Obols,"2x Agency Reputation,1x Booster Pack",SIDE,MENU
SQ016,3016,To Update,Go Suck An Egg,No,"MENU: I know there’s a window on me somewhere, a secret shop where you can use those Obols to buy something. Don’t tell me it’s not real, I can tell it’s there. They refuse to sell to me, so you’re gonna have to shell out just this once. 

MENU: I want you to buy what they’re selling and give it to Mina. She’ll probably be able to tell us something about it. ",Complete SQ015,"Move to Convenience Store,Give 1 Wonder Egg","2x Agency Reputation,2x Elders Loyalty,1x Booster Pack",SIDE,MENU
TempQ01,10001,Defunct,mina test drop,No,,Missed Mina,,10 Revives,,
SQ999,10002,In Game,Claim Your Free Gift!,No,"I was really going through it on the 21st. It had me feeling bad enough that it must have affected you too. Here, take this. ","Before 25/10/25 0 GMT,At least 1 Kami liquidated",,"5x Booster Pack,3x ""Melkarth's Heroic Awakening"" Spell Card",,
test-0,1000000,Test,Daily Test Quest,Yes,Beg for your MUSU.,,,"10000x MUSU (Test),2x Agency Reputation",,
test-1,1000001,Test,Crafting Materials,No,Let there be Craft,,Move 3 Times,"100x Stone,100x Stick,50x Plastic Bottle,10x Glass Jar,100x Pine Cones,100x Burgers",,
test-2,1000002,Test,Lottery Loving,No,Stop being Kamiless,,,20x Gacha Tickets (Test),,
test-3,1000003,Test,Crafting Materials II,No,More crafting materials,Complete test-1,Give 5 Wooden Sticks,"100x Chalkberry,100x Shroom,100x Resin,100x Holy Dust,100x Scrap Metals",,
test-4,1000004,Test,Crafting Toolkit,No,You need equipment to make new items.,Complete test-1,,"1x Screwdriver,1x Grinder,1x Burner",,
